year,annual_wages_seasonal,n_gdp_millions,n_gdp_dollars,r_gdp_millions,r_gdp_indexed,r_gdp_growth_zero_2007,r_gdp_dollars,1_alpha,alpha ,employees_thousands,employees_indexed,avg_weekly_hours,av_weekly_hours_indexed,total_hours_worked,labor_input_growth_2007,total_hours_worked_indexed,capital_input_bls_indexed,capital_input_bls_dollar,capital_growth_2007,tfp_growth
2001,38455610075.74,81986.78,81986778000.00,106602.14,84.61,,106602136000.00,0.469046485,0.530953515,1026.07,98.99,,,,,,3349.23,25.96,,
2002,38730473965.97,84957.10,84957101000.00,108499.51,86.12,,108499511000.00,0.455882716,0.544117284,1012.84,97.71,,,,,,3396.78,26.34,,
2003,39282345188.90,89082.52,89082515000.00,111215.17,88.27,,111215170000.00,0.440965830,0.559034170,1004.56,96.91,,,,,,3428.52,26.57,,
2004,40930934148.18,94265.05,94265045000.00,113663.85,90.22,,113663853000.00,0.434211156,0.565788844,1005.22,96.97,,,,,,3408.85,26.43,,
2005,42016254772.64,98585.30,98585304000.00,114408.07,90.81,,114408071000.00,0.426191867,0.573808133,1005.82,97.03,,,,,,3374.64,26.17,,
2006,44319565554.07,101790.52,101790522000.00,113493.87,90.08,,113493872000.00,0.435399728,0.564600272,1010.05,97.44,,,,,,3341.87,26.79,,
2007,46999864714.79,107317.38,107317379000.00,115946.47,92.03,0.00000000,115946474000.00,0.437952037,0.562047963,1019.68,98.37,34.30,100.59,1818699478.498,0.00000000,98.94,3412.45,26.45,0.00000000,0.00000000
2008,48474298180.00,111240.09,111240092000.00,118190.29,93.81,0.01916727,118190286000.00,0.435762838,0.564237162,1022.47,98.63,33.80,99.12,1797099059.364,-0.01194794,97.77,3535.67,27.40,0.02111208,0.00435899
2009,47248932146.61,110823.23,110823229000.00,116520.59,92.48,0.00493931,116520586000.00,0.426345023,0.573654977,993.68,95.85,33.10,97.07,1710326108.066,-0.06143761,93.04,3587.87,27.79,0.06079924,0.00237802
2010,48610856077.81,116798.64,116798637000.00,121141.13,96.15,0.04382758,121141131000.00,0.416193693,0.583806307,997.54,96.22,33.40,97.95,1732522926.851,-0.04854299,94.24,3625.52,27.78,0.02348016,0.02867176
2011,51215710578.14,121777.06,121777058000.00,123875.14,98.32,0.06614548,123875141000.00,0.420569452,0.579430548,1020.66,98.45,33.90,99.41,1799223563.984,-0.01076645,97.87,3670.95,28.47,0.00947119,0.02836352
2012,53511191309.85,125989.47,125989465000.00,125989.47,100.00,0.08306964,125989465000.00,0.424727506,0.575272494,1036.67,100.00,34.10,100.00,1838226841.922,0.01067976,100.00,3700.00,28.68,-0.00293716,0.03199346
2013,54514083676.29,129714.78,129714780000.00,127478.79,101.18,0.09482135,127478791000.00,0.420261158,0.579738842,1038.07,100.14,34.10,100.00,1840697433.443,0.01202287,100.14,3741.82,28.99,-0.00369921,0.03635162
2014,55949726339.59,134382.05,134382048000.00,129697.40,102.94,0.11207541,129697402000.00,0.416348219,0.583651781,1041.49,100.46,34.10,100.00,1846765934.008,0.01531429,100.46,3788.75,29.38,-0.01047290,0.04464669
2015,58286413930.88,138983.06,138983060000.00,133407.72,105.89,0.14028131,133407715000.00,0.419377829,0.580622171,1044.66,100.77,33.90,99.41,1841529672.189,0.01247490,100.18,3871.21,30.01,-0.01958541,0.06181286
2016,58045418927.09,139778.20,139778197000.00,133032.80,105.59,0.13746708,133032802000.00,0.415268047,0.584731953,1046.04,100.90,33.30,97.65,1811330762.558,-0.00405987,98.53,3867.08,29.98,-0.01745729,0.06602107
2017,60314161358.25,146344.75,146344746000.00,136502.30,108.34,0.16321280,136502299000.00,0.412137525,0.587862475,1057.16,101.98,33.50,98.24,1841578261.567,0.01250128,100.19,3947.83,30.61,-0.02493258,0.07238952
2018,62907947658.10,154553.04,154553043000.00,140648.07,111.63,0.19313217,140648071000.00,0.407031440,0.592968560,1069.79,103.20,33.80,99.12,1880268795.399,0.03329307,102.29,4022.88,31.20,-0.04161348,0.08199753
2019,65427625160.74,160161.80,160161803000.00,143433.03,113.85,0.21273955,143433025000.00,0.408509544,0.591490456,1078.03,104.00,34.00,99.71,1905962204.804,0.04686530,103.70,4096.15,31.76,-0.04361585,0.08557870
2020,64249273721.13,153369.72,153369717000.00,136338.28,108.21,0.16201047,136338276000.00,0.418917600,0.581082400,983.92,94.92,33.80,99.12,1729332784.556,-0.05038601,94.08,4068.15,31.54,0.01906736,0.08098897